"metric","value"
"n_total",22
"correlation_r",0.167816141862195
"correlation_p",0.455365533284767
"n_early",13
"n_middle",9
"n_late",0
"mean_size_early",146251.230769231
"mean_size_middle",165934.111111111
"mean_size_late",NA
