"OBJECTID","LOCATION_TYPE","dist_from_quarry_m","latitude","longitude"
126,"QUARRY",1214.31065459272,-27.125602,-109.288924
130,"QUARRY",1215.1616106175,-27.125576,-109.288935
765,"QUARRY",1216.00700274175,-27.125706,-109.288931
432,"QUARRY NOT BEDROCK",1218.12276705699,-27.12646,-109.288845
761,"QUARRY",1218.31947325355,-27.125598,-109.288965
764,"QUARRY",1219.01215589043,-27.125651,-109.288967
759,"QUARRY",1219.24731253622,-27.125558,-109.288978
431,"QUARRY NOT BEDROCK",1219.38512930881,-27.126415,-109.288866
317,"QUARRY",1220.79849413191,-27.125759,-109.288974
748,"QUARRY",1221.66222384083,-27.124679,-109.28904
316,"QUARRY",1222.14160046693,-27.125783,-109.288985
760,"QUARRY",1222.73388272003,-27.125573,-109.289012
405,"QUARRY",1223.65635720543,-27.124643,-109.28906
435,"QUARRY NOT BEDROCK",1224.13831733486,-27.1245,-109.289063
747,"QUARRY",1224.20155344093,-27.124585,-109.289065
681,"QUARRY",1225.94305045257,-27.124772,-109.289083
762,"QUARRY",1226.13228856642,-27.125589,-109.289045
473,"QUARRY",1226.61514803003,-27.124556,-109.289089
725,"QUARRY-BEDROCK",1226.85721540157,-27.124601,-109.289092
763,"QUARRY",1228.80949995034,-27.125623,-109.289069
404,"QUARRY NOT BEDROCK",1229.32918472833,-27.124604,-109.289117
414,"QUARRY",1231.18195596783,-27.126534,-109.288965
328,"QUARRY",1231.31061220199,-27.125549,-109.289101
768,"QUARRY",1232.52823122345,-27.125598,-109.289109
515,"QUARRY",1233.71222947933,-27.1254,-109.289137
769,"QUARRY",1234.43019651882,-27.125556,-109.289132
564,"QUARRY NOT BEDROCK",1234.74579972064,-27.124547,-109.289171
766,"QUARRY",1234.77509284255,-27.125628,-109.289129
690,"QUARRY",1235.50210532263,-27.125456,-109.289151
691,"QUARRY",1237.72848182038,-27.125395,-109.289178
327,"QUARRY",1238.05732419189,-27.125576,-109.289167
767,"QUARRY",1238.08156836235,-27.125612,-109.289164
131,"QUARRY",1239.47279260792,-27.125557,-109.289183
403,"QUARRY NOT BEDROCK",1241.234472196,-27.12458,-109.289237
516,"QUARRY",1241.80796288135,-27.125291,-109.289226
562,"QUARRY",1242.7686412844,-27.124544,-109.289252
680,"QUARRY",1242.8996112521,-27.124804,-109.289254
433,"QUARRY NOT BEDROCK",1242.95318345598,-27.126409,-109.289108
563,"QUARRY",1243.70350979088,-27.124585,-109.289262
329,"QUARRY",1244.06055500191,-27.125515,-109.289233
402,"QUARRY",1244.77612990888,-27.124527,-109.289272
344,"QUARRY NOT BEDROCK",1247.33363797417,-27.12623,-109.289182
746,"QUARRY",1247.76458756356,-27.124583,-109.289303
390,"QUARRY",1248.40203587643,-27.12455,-109.289309
389,"QUARRY NOT BEDROCK",1250.91724814683,-27.124597,-109.289335
745,"QUARRY",1251.6450669151,-27.124567,-109.289342
434,"QUARRY NOT BEDROCK",1253.64497539285,-27.126393,-109.28922
345,"QUARRY NOT BEDROCK",1255.60841325721,-27.126186,-109.289273
346,"QUARRY NOT BEDROCK",1257.8349029121,-27.126204,-109.289293
906,"QUARRY",1257.86765174216,-27.127464,-109.289022
628,"QUARRY",1258.78450426417,-27.125744,-109.289361
724,"QUARRY NOT BEDROCK",1259.19330509165,-27.125898,-109.289348
517,"QUARRY",1260.51059836124,-27.125294,-109.289415
309,"QUARRY",1261.39103821115,-27.125709,-109.289391
436,"QUARRY NOT BEDROCK",1263.77690702064,-27.125976,-109.289385
700,"QUARRY-BEDROCK",1264.2224638124,-27.124563,-109.289469
699,"QUARRY NOT BEDROCK",1265.18329948167,-27.124518,-109.289478
600,"QUARRY",1265.91482759638,-27.125481,-109.289457
667,"QUARRY NOT BEDROCK",1266.52271197442,-27.125935,-109.289418
422,"QUARRY NOT BEDROCK",1267.20038434549,-27.124498,-109.289498
599,"QUARRY",1270.60293893137,-27.125474,-109.289505
518,"QUARRY",1270.91909377093,-27.125408,-109.289513
347,"QUARRY NOT BEDROCK",1273.44714648265,-27.126107,-109.289466
387,"QUARRY NOT BEDROCK",1277.35271865257,-27.125927,-109.289529
698,"QUARRY NOT BEDROCK",1281.84878950997,-27.125873,-109.289581
907,"QUARRY",1283.12933733897,-27.12733,-109.289321
480,"QUARRY",1292.03041877494,-27.125685,-109.289704
479,"QUARRY",1295.18261810715,-27.125695,-109.289735
697,"QUARRY NOT BEDROCK",1295.96531524716,-27.125902,-109.289721
871,"QUARRY",1327.21704306653,-27.12704,-109.289847
481,"QUARRY",1330.80752100383,-27.126241,-109.290031
482,"QUARRY",1333.25873441544,-27.126536,-109.290009
483,"QUARRY",1334.68391678008,-27.126847,-109.289965
872,"QUARRY",1336.8794192478,-27.127078,-109.289938
710,"QUARRY",1339.31928520397,-27.123669,-109.290179
873,"QUARRY",1390.22240579795,-27.127885,-109.290281
677,"ROAD",1408.74300735856,-27.128024,-109.290433
448,"ROAD",1417.19513434266,-27.128334,-109.290423
472,"QUARRY",1417.32480345796,-27.123236,-109.290922
471,"QUARRY",1430.29296710937,-27.123301,-109.291062
359,"QUARRY NOT BEDROCK",1442.86998080677,-27.125748,-109.291227
524,"ROAD",1443.91693715987,-27.128517,-109.290643
358,"QUARRY NOT BEDROCK",1446.15508553685,-27.125659,-109.291268
449,"ROAD",1466.49487216733,-27.128527,-109.290878
470,"QUARRY",1480.24877783689,-27.12328,-109.291567
874,"QUARRY",1492.62712910127,-27.127035,-109.291548
908,"QUARRY",1498.21654969824,-27.127692,-109.291457
450,"ROAD",1527.49682885172,-27.128903,-109.291392
750,"QUARRY",1532.19956470487,-27.121522,-109.291761
675,"AHU",1532.96296634557,-27.124103,-109.29217
676,"AHU",1598.83600171083,-27.124429,-109.292847
408,"AHU",1620.06058276987,-27.138109,-109.283162
409,"AHU",1620.93283567515,-27.138137,-109.283111
423,"AHU",1625.11666809874,-27.138162,-109.283153
608,"AHU",1625.4641368514,-27.138184,-109.283104
410,"AHU",1627.95244587561,-27.138128,-109.283313
607,"AHU",1630.98922775471,-27.138218,-109.283157
606,"AHU",1633.686862174,-27.13822,-109.283221
407,"AHU",1635.88861094127,-27.138208,-109.283308
797,"AHU",1648.83701102771,-27.138329,-109.283324
674,"AHU",1711.8942939555,-27.125165,-109.293984
553,"ROAD",1742.8596184936,-27.129956,-109.293289
554,"ROAD",1756.79533836684,-27.129977,-109.29343
555,"ROAD",1762.45411559235,-27.12992,-109.293513
522,"MUSEUM",1837.58374868871,-27.121012,-109.294795
558,"ROAD",1837.58374868871,-27.121012,-109.294795
133,"ROAD",1858.36309647949,-27.130385,-109.294356
556,"ROAD",1868.96540947932,-27.130392,-109.294467
557,"ROAD",1875.31287577855,-27.130432,-109.294519
561,"AHU",1977.07184761263,-27.137488,-109.290601
