"height_m","com_position","total_length_cm","base_width_cm"
6.27,0.397671451355662,627,175
6.27,0.397671451355662,627,175
6.49,0.386964560862866,649,268
6.49,0.386964560862866,649,268
10.66,0.402213883677298,1066,237
5.52,0.396811594202899,552,160
7.35,0.389197278911565,735,283
8.01,0.400823970037453,801,192
7.73,0.394126778783959,773,250
5.73,0.394171029668412,573,185
5.73,0.394171029668412,573,185
5.73,0.394171029668412,573,185
8.57,0.396942823803967,857,247
5.25,0.3944,525,168
5.76,0.381666666666667,576,276
5.76,0.381666666666667,576,276
7.83,0.395172413793103,783,243
7.83,0.395172413793103,783,243
4.96,0.394354838709677,496,159
8.46,0.398912529550827,846,223
7.42,0.392614555256065,742,254
5.76,0.381666666666667,576,276
